Municipality,Year,No health insurance coverage,Unemployed,No vehicles available,Child,Foreign born,"Speak English less than ""very well""",Median age (years),"Less than $25,000",Less than 12th grade,Without a broadband Internet subscription,Weighted Mean
Lyons town,2019,-1.2822273706813783,-0.1707368160107693,-0.15529339343196383,0.2920402416117596,-1.0948716468545356,-0.7011414307667313,0.40303652148488534,-0.9609597851596157,-0.47819469294124156,-0.8632154808024437,-0.7468681783420281
Lafayette town,2019,-1.0383254251713336,-0.613387820483134,-0.5059558947299462,-0.10792791537825921,-0.8419310023666893,-0.9800044998216814,0.6449352276158576,-1.0797364507767548,-0.8806832120501025,-1.0071608891945931,-0.8444141919990749
Mukwonago village,2019,-1.770031261701468,-1.4986898294278637,-1.207280897325911,2.291881026561856,-1.3478122913423822,-0.9800044998216814,-0.6899872617735839,-1.7923964444795895,-1.685660250267824,-1.2950517059788913,-1.2948653512366664
Burlington city,2019,-1.770031261701468,-1.4986898294278637,-1.207280897325911,-3.574318609291759,-1.3478122913423822,-0.9800044998216814,-3.6823638487270975,-1.7923964444795895,-1.685660250267824,1.1040384338902616,-1.5280683577749596
Whitewater city,2018,0.6689881933989799,0.2719141884615956,2.299344115653913,-1.174509667351644,0.16983157558469675,0.13544777639811836,-1.7113373543265795,2.839893514588835,-0.07570617383238087,-0.7192700724102947,1.209768948083212
Delavan city,2018,2.1323998664592483,-0.1707368160107693,2.650006616951895,0.2920402416117596,2.6992380204631616,2.924078466947618,-0.448088555642611,0.820690199097471,2.5404692003752145,-0.7432609738089863,1.038767476471328
Walworth village,2018,0.9128901389090245,-0.613387820483134,0.5460316091640011,0.2920402416117596,2.193356731487469,1.5297631216728678,-0.21514906084982244,1.177020195948888,0.7292708643853408,-0.599315565416837,0.739617204964723
Sharon village,2018,0.9128901389090245,0.2719141884615956,-0.15529339343196383,0.8253311175984525,1.4345347980239294,1.2509000526179181,-0.43912934430442674,0.820690199097471,2.7417134599296444,-0.7432609738089863,0.6701035178978096
Lake Geneva city,2018,0.18118430237889027,0.2719141884615956,1.5980191130579482,0.15871752261508718,0.9286535090482362,0.6931739145080181,-0.23306748352619103,1.177020195948888,0.32678234527648,-0.8392245794037525,0.5876472377729169
Bloomfield town,2018,0.9128901389090245,-0.1707368160107693,-0.5059558947299462,0.6920083986017792,0.9286535090482362,0.41431084545306834,-0.4749661896571639,0.46436020224605334,0.1255380857220497,-0.8392245794037525,0.3770598198439146
Williams Bay village,2018,-0.06271764313115437,0.7145651929339605,0.8966941104619833,-0.2412506343749324,0.16983157558469675,-0.42227836171178146,0.635976016277674,0.9394668647146095,-0.679438952495672,-0.9111972835998269,0.3602359659132661
Walworth town,2018,-0.5505215341512439,-0.1707368160107693,1.5980191130579482,0.6920083986017792,0.42277222007254345,-0.42227836171178146,0.2328115060593862,1.177020195948888,0.32678234527648,-0.7432609738089863,0.3258760462684581
Darien town,2018,1.8884979209492034,-0.613387820483134,-0.8566183960279286,0.6920083986017792,1.940416086999622,2.924078466947618,0.18801544936846531,-0.7234064539253376,1.3330036430486316,-0.8152336780050609,0.31853892832308006
Bloomfield village,2018,-0.06271764313115437,1.157216197406325,-0.15529339343196383,1.4919447125818177,-0.5889903578788427,-0.7011414307667313,-0.16139379282071792,0.46436020224605334,0.5280266048309102,-0.95917908639721,0.24676550045464618
